,city,category,Name,lat,lng,points,points-lng-lat,geometry
62,Paris,train station,Autolib' Station,48.88136851337537,2.3206257820129395,"{'type': 'Point', 'coordinates': [48.88136851337537, 2.3206257820129395]}","{'type': 'Point', 'coordinates': [2.3206257820129395, 48.88136851337537]}",POINT (2.320625782012939 48.88136851337537)
63,Paris,train station,Autolib' Station (Boutique),48.87123578928628,2.3291015625,"{'type': 'Point', 'coordinates': [48.87123578928628, 2.3291015625]}","{'type': 'Point', 'coordinates': [2.3291015625, 48.87123578928628]}",POINT (2.3291015625 48.87123578928628)
64,Paris,train station,Autolib' Station,48.87682456503877,2.330260276794433,"{'type': 'Point', 'coordinates': [48.87682456503877, 2.330260276794433]}","{'type': 'Point', 'coordinates': [2.330260276794433, 48.87682456503877]}",POINT (2.330260276794433 48.87682456503877)
65,Paris,train station,Station Leclerc,48.8933738083136,2.3029341227449573,"{'type': 'Point', 'coordinates': [48.8933738083136, 2.3029341227449573]}","{'type': 'Point', 'coordinates': [2.3029341227449573, 48.8933738083136]}",POINT (2.302934122744957 48.8933738083136)
66,Paris,train station,Autolib'Station,48.87384678495731,2.3425233364105225,"{'type': 'Point', 'coordinates': [48.87384678495731, 2.3425233364105225]}","{'type': 'Point', 'coordinates': [2.3425233364105225, 48.87384678495731]}",POINT (2.342523336410522 48.87384678495731)
67,Paris,train station,Autolib' Station,48.87778419099506,2.3109376430511475,"{'type': 'Point', 'coordinates': [48.87778419099506, 2.3109376430511475]}","{'type': 'Point', 'coordinates': [2.3109376430511475, 48.87778419099506]}",POINT (2.310937643051147 48.87778419099506)
68,Paris,train station,Autolib' Station,48.87530041538759,2.3324060440063477,"{'type': 'Point', 'coordinates': [48.87530041538759, 2.3324060440063477]}","{'type': 'Point', 'coordinates': [2.3324060440063477, 48.87530041538759]}",POINT (2.332406044006348 48.87530041538759)
69,Paris,train station,Autolib' Station,48.881707176224424,2.3172783851623535,"{'type': 'Point', 'coordinates': [48.881707176224424, 2.3172783851623535]}","{'type': 'Point', 'coordinates': [2.3172783851623535, 48.881707176224424]}",POINT (2.317278385162354 48.88170717622442)
70,Paris,train station,Autolib' Station,48.8699655259064,2.311978340148926,"{'type': 'Point', 'coordinates': [48.8699655259064, 2.311978340148926]}","{'type': 'Point', 'coordinates': [2.311978340148926, 48.8699655259064]}",POINT (2.311978340148926 48.8699655259064)
71,Paris,train station,Autolib' Station,48.87307055723444,2.3096179962158203,"{'type': 'Point', 'coordinates': [48.87307055723444, 2.3096179962158203]}","{'type': 'Point', 'coordinates': [2.3096179962158203, 48.87307055723444]}",POINT (2.30961799621582 48.87307055723444)
72,Paris,train station,Autolib' Station,48.88045834560565,2.328382730484009,"{'type': 'Point', 'coordinates': [48.88045834560565, 2.328382730484009]}","{'type': 'Point', 'coordinates': [2.328382730484009, 48.88045834560565]}",POINT (2.328382730484009 48.88045834560565)
73,Paris,train station,Autolib' Station,48.88009850726778,2.313201427459717,"{'type': 'Point', 'coordinates': [48.88009850726778, 2.313201427459717]}","{'type': 'Point', 'coordinates': [2.313201427459717, 48.88009850726778]}",POINT (2.313201427459717 48.88009850726778)
74,Paris,train station,TOTAL • Station Service,48.8732430604541,2.3355837305746743,"{'type': 'Point', 'coordinates': [48.8732430604541, 2.3355837305746743]}","{'type': 'Point', 'coordinates': [2.3355837305746743, 48.8732430604541]}",POINT (2.335583730574674 48.8732430604541)
75,Paris,train station,Autolib' Station,48.866789726364736,2.316012382507324,"{'type': 'Point', 'coordinates': [48.866789726364736, 2.316012382507324]}","{'type': 'Point', 'coordinates': [2.316012382507324, 48.866789726364736]}",POINT (2.316012382507324 48.86678972636474)
76,Paris,train station,Autolib' Station,48.87280945974811,2.3080945014953613,"{'type': 'Point', 'coordinates': [48.87280945974811, 2.3080945014953613]}","{'type': 'Point', 'coordinates': [2.3080945014953613, 48.87280945974811]}",POINT (2.308094501495361 48.87280945974811)
77,Paris,train station,Autolib' Station,48.86998634437711,2.332046627998352,"{'type': 'Point', 'coordinates': [48.86998634437711, 2.332046627998352]}","{'type': 'Point', 'coordinates': [2.332046627998352, 48.86998634437711]}",POINT (2.332046627998352 48.86998634437711)
78,Paris,train station,Station de Taxi Opéra,48.87055831949693,2.332674264907837,"{'type': 'Point', 'coordinates': [48.87055831949693, 2.332674264907837]}","{'type': 'Point', 'coordinates': [2.332674264907837, 48.87055831949693]}",POINT (2.332674264907837 48.87055831949693)
79,Paris,train station,Station Souvenirs,48.86622,2.324776,"{'type': 'Point', 'coordinates': [48.86622, 2.324776]}","{'type': 'Point', 'coordinates': [2.324776, 48.86622]}",POINT (2.324776 48.86622)
80,Paris,train station,Autolib' Station,48.871673316983355,2.333800792694092,"{'type': 'Point', 'coordinates': [48.871673316983355, 2.333800792694092]}","{'type': 'Point', 'coordinates': [2.333800792694092, 48.871673316983355]}",POINT (2.333800792694092 48.87167331698335)
81,Paris,train station,Autolib' Station,48.8829206992692,2.3258614540100098,"{'type': 'Point', 'coordinates': [48.8829206992692, 2.3258614540100098]}","{'type': 'Point', 'coordinates': [2.3258614540100098, 48.8829206992692]}",POINT (2.32586145401001 48.8829206992692)
82,Paris,train station,station belib,48.870823,2.33386,"{'type': 'Point', 'coordinates': [48.870823, 2.33386]}","{'type': 'Point', 'coordinates': [2.33386, 48.870823]}",POINT (2.33386 48.870823)
